2025-11-05 00:50:38.369 | INFO     | routers.papers:upload_paper:64 - Processing PDF: 5de0cc55-e483-44cb-9b96-01fd4c6462d8.pdf
2025-11-05 00:50:41.005 | INFO     | routers.papers:upload_paper:75 - Segmenting paper...
2025-11-05 00:50:41.271 | ERROR    | routers.papers:upload_paper:114 - Error processing paper: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:56:14.640 | INFO     | routers.papers:upload_paper:64 - Processing PDF: f0385976-ed6d-4fb7-aaec-64f907306699.pdf
2025-11-05 00:56:17.581 | INFO     | routers.papers:upload_paper:75 - Segmenting paper...
2025-11-05 00:56:18.196 | ERROR    | routers.papers:upload_paper:114 - Error processing paper: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 00:59:14.771 | INFO     | routers.papers:upload_paper:64 - Processing PDF: e86c8d29-800f-44ee-bf4c-6527c6e5a05c.pdf
2025-11-05 00:59:18.105 | INFO     | routers.papers:upload_paper:75 - Segmenting paper...
2025-11-05 00:59:18.370 | ERROR    | routers.papers:upload_paper:114 - Error processing paper: 404 models/gemini-1.5-flash is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 01:05:53.602 | INFO     | main:on_shutdown:116 - Shutting down Paper2Video API...
2025-11-05 01:05:59.745 | INFO     | main:<module>:62 - CORS configured with origins: ['http://localhost:8501', 'http://localhost:8502', 'http://127.0.0.1:8501', 'http://127.0.0.1:8502', 'http://localhost:8000', 'http://127.0.0.1:8000']
2025-11-05 01:05:59.745 | INFO     | main:<module>:63 - GEMINI_API_KEY configured: Yes
2025-11-05 01:05:59.745 | INFO     | main:on_startup:107 - Starting Paper2Video API...
2025-11-05 01:05:59.761 | INFO     | main:on_startup:112 - Application started successfully
2025-11-05 01:06:50.070 | INFO     | routers.papers:upload_paper:64 - Processing PDF: d5063d2e-22f2-47e0-bda4-33c0617895a8.pdf
2025-11-05 01:06:52.806 | INFO     | routers.papers:upload_paper:75 - Segmenting paper...
2025-11-05 01:06:53.488 | ERROR    | routers.papers:upload_paper:114 - Error processing paper: 404 models/gemini-1.5-flash-latest is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
2025-11-05 01:11:59.564 | INFO     | main:on_shutdown:116 - Shutting down Paper2Video API...
2025-11-05 01:12:04.750 | INFO     | main:<module>:62 - CORS configured with origins: ['http://localhost:8501', 'http://localhost:8502', 'http://127.0.0.1:8501', 'http://127.0.0.1:8502', 'http://localhost:8000', 'http://127.0.0.1:8000']
2025-11-05 01:12:04.750 | INFO     | main:<module>:63 - GEMINI_API_KEY configured: Yes
2025-11-05 01:12:04.750 | INFO     | main:on_startup:107 - Starting Paper2Video API...
2025-11-05 01:12:04.766 | INFO     | main:on_startup:112 - Application started successfully
2025-11-05 01:13:27.362 | INFO     | main:<module>:62 - CORS configured with origins: ['http://localhost:8501', 'http://localhost:8502', 'http://127.0.0.1:8501', 'http://127.0.0.1:8502', 'http://localhost:8000', 'http://127.0.0.1:8000']
2025-11-05 01:13:27.362 | INFO     | main:<module>:63 - GEMINI_API_KEY configured: Yes
2025-11-05 01:13:27.377 | INFO     | main:on_startup:107 - Starting Paper2Video API...
2025-11-05 01:13:27.377 | INFO     | main:on_startup:112 - Application started successfully
2025-11-05 01:13:43.700 | INFO     | routers.papers:upload_paper:64 - Processing PDF: 81b71300-c9de-49bc-97cd-ae758cf1939f.pdf
2025-11-05 01:13:46.361 | INFO     | routers.papers:upload_paper:75 - Segmenting paper...
2025-11-05 01:13:47.082 | ERROR    | routers.papers:upload_paper:114 - Error processing paper: 404 models/gemini-1.0-pro is not found for API version v1beta, or is not supported for generateContent. Call ListModels to see the list of available models and their supported methods.
